"Respondent","Platform1","Platform2","Platform3","Platform4","Platform5","Platform6","Platform7","Platform8","Platform9","Platform10","Platform11","Platform12","Platform13","Platform14","Platform15","Platform16"
1509,"Android","AWS","Docker","Linux","Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
1510,"Heroku","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1511,"MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1526,"MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1533,"AWS","Docker","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1534,"Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1535,"AWS","Docker","Heroku","Kubernetes","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA
1541,"Android","AWS","Docker","iOS","Linux","MacOS","Microsoft Azure","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA
1542,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1552,"Android","Arduino","Google Cloud Platform","iOS","Linux","MacOS","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA
1557,"Android","Docker","iOS","MacOS","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1560,"AWS","Docker","Linux","MacOS","Raspberry Pi","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1575,"Android","Arduino","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1578,"Android","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1580,"AWS","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1586,"Linux","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1587,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1590,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1596,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1599,"Android","iOS","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1605,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1612,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1617,"AWS","Docker","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1619,"Arduino","Microsoft Azure","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1625,"AWS","Google Cloud Platform","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1634,"Arduino","AWS","Google Cloud Platform","Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1639,"AWS","Docker","Kubernetes","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1649,"Arduino","Google Cloud Platform","iOS","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1650,"Docker","Google Cloud Platform","Linux","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1659,"Android","AWS","Docker","Google Cloud Platform","iOS","Kubernetes","Linux","MacOS","Raspberry Pi","Slack","Windows",NA,NA,NA,NA,NA
1666,"Microsoft Azure","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1671,"MacOS","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1672,"Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1674,"AWS","Heroku","Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1675,"Android","AWS","Docker","iOS","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA
1677,"Arduino","AWS","Docker","Heroku","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA
1696,"Android","Linux","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1728,"Android","Arduino","Docker","Google Cloud Platform","Linux","Raspberry Pi","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA
1732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1746,"Docker","Google Cloud Platform","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1765,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1774,"Linux","Raspberry Pi","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1794,"Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1803,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1825,"Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1829,"AWS","Docker","Heroku","Linux","Microsoft Azure","Raspberry Pi","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA
1830,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1844,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1845,"Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1846,"Android","Microsoft Azure","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,"Android","AWS","Heroku","Linux","Microsoft Azure","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,"Microsoft Azure","Windows","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1866,"Android","Arduino","AWS","Google Cloud Platform","iOS","Linux","MacOS","Microsoft Azure","Raspberry Pi","Windows","WordPress",NA,NA,NA,NA,NA
1867,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1877,"Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1879,"AWS","Docker","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1891,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,"Android","Docker","Google Cloud Platform","iOS","Kubernetes","Linux","MacOS","Raspberry Pi","Slack",NA,NA,NA,NA,NA,NA,NA
1896,"Android","Arduino","Google Cloud Platform","Heroku","iOS","MacOS","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA
1902,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,"Arduino","AWS","Docker","Google Cloud Platform","Heroku","iOS","Linux","MacOS","Microsoft Azure","Raspberry Pi","Slack","Windows","WordPress",NA,NA,NA
1910,"MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,"Linux","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,"Raspberry Pi","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,"Arduino","Docker","Linux","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,"Android","Arduino","iOS","Linux","MacOS","Microsoft Azure","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA
1953,"Linux","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,"AWS","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"AWS","Docker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,"Arduino","Google Cloud Platform","Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,"Android","Arduino","Heroku","Linux","Raspberry Pi","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,"Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,"AWS","Docker","Google Cloud Platform","Kubernetes","Linux","Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA
2004,"Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Docker","Kubernetes","Linux","Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Docker","Kubernetes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2031,"Microsoft Azure","Raspberry Pi","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2033,"Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2046,"AWS","Docker","Kubernetes","Linux","MacOS","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
2063,"Heroku","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2067,"Arduino","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2069,"Heroku",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2076,"AWS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2086,"Docker","IBM Cloud or Watson","Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2089,"Docker","Kubernetes","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2093,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2100,"Arduino","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2103,"AWS","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2105,"AWS","Linux","MacOS","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2113,"AWS","Docker","Heroku","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2127,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2130,"Android","Google Cloud Platform","Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2136,"MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2138,"Android","Docker","iOS","Linux","MacOS","Raspberry Pi","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA
2159,"WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2160,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2177,"Linux","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2183,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2184,"Android","Arduino","AWS","Docker","Linux","Raspberry Pi","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA
2185,"Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2187,"Android","Arduino","AWS","Docker","Heroku","iOS","Linux","MacOS","Raspberry Pi","Slack","Windows","WordPress",NA,NA,NA,NA
2193,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2194,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2200,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2202,"Google Cloud Platform","Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2205,"Docker","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2220,"Android","AWS","Docker","Google Cloud Platform","Heroku","IBM Cloud or Watson","Kubernetes","Linux","MacOS","Microsoft Azure","Slack","Windows",NA,NA,NA,NA
2234,"Android","Arduino","Linux","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2243,"Android","IBM Cloud or Watson","iOS","MacOS","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2246,"Android","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2250,"Android","iOS","Kubernetes","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2252,"AWS","Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2253,"Linux","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2262,"Android","Arduino","Google Cloud Platform","Linux","MacOS","Raspberry Pi","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA
2283,"AWS","Docker","Google Cloud Platform","Kubernetes","Linux","MacOS","Microsoft Azure","Slack",NA,NA,NA,NA,NA,NA,NA,NA
2284,"Docker","Kubernetes","Linux","MacOS","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2288,"Docker","Heroku","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2292,"Android","Docker","Google Cloud Platform","Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2296,"AWS","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2297,"Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2301,"Android","Arduino","AWS","Docker","Google Cloud Platform","Kubernetes","Linux","MacOS","Raspberry Pi","Slack","Windows",NA,NA,NA,NA,NA
2302,"Android","Linux","Slack","Windows","WordPress","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2315,"AWS","Docker","Google Cloud Platform","Kubernetes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2316,"AWS","Docker","Linux","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2323,"Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2324,"AWS","Linux","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2329,"Android","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2332,"Arduino","AWS","Heroku","iOS","Linux","MacOS","Raspberry Pi","Slack","Windows",NA,NA,NA,NA,NA,NA,NA
2333,"Arduino","Docker","Kubernetes","Linux","MacOS","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2344,"Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2349,"Docker","Google Cloud Platform","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2367,"AWS","Docker","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2375,"Android","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2399,"Docker","Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2402,"Docker","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2408,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2412,"Google Cloud Platform","Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2414,"Docker","Google Cloud Platform","Linux","Raspberry Pi","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2426,"Android","Heroku","Linux","MacOS","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2434,"AWS","Docker","Linux","MacOS","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2437,"Linux","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2441,"Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2457,"Android","AWS","Docker","Google Cloud Platform","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2472,"Android","Heroku","Linux","Raspberry Pi","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2489,"Docker","Google Cloud Platform","Linux","MacOS","Slack","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2490,"Android","Google Cloud Platform","Linux","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2493,"AWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2494,"WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2520,"AWS","Google Cloud Platform","Linux","Microsoft Azure","Slack","WordPress","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA
2535,"Android","Arduino","Docker","iOS","Kubernetes","Linux","MacOS","Raspberry Pi","Slack","Windows","WordPress","Other(s):",NA,NA,NA,NA
2540,"Linux","MacOS","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2554,"Android","AWS","Google Cloud Platform","Heroku","Linux","Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA
2560,"AWS","Docker","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2571,"Android","AWS","Docker","iOS","Linux","MacOS","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA
2581,"Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2583,"AWS","Docker","Google Cloud Platform","Heroku","IBM Cloud or Watson","Kubernetes","Microsoft Azure","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA
2591,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2600,"Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2609,"Docker","Linux","Raspberry Pi","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2610,"Linux","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2624,"AWS","Linux","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2647,"Arduino","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2651,"Kubernetes","Linux","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2663,"Arduino","Linux","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2665,"Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2671,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2682,"Docker","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2683,"Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2699,"AWS","Google Cloud Platform","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2704,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2711,"Android","Docker","Linux","Raspberry Pi","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2714,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2722,"AWS","Linux","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2728,"Android","AWS","Docker","Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2729,"Heroku","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2734,"MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2737,"Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2738,"Linux","MacOS","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2742,"Android","Docker","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2756,"AWS","Docker","Linux","Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2758,"Docker","Heroku","Linux","MacOS","Microsoft Azure","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2770,"Arduino","Linux","Raspberry Pi","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2771,"Google Cloud Platform","Linux","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2784,"AWS","Docker","Kubernetes","Linux","MacOS","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2788,"Android","AWS","Google Cloud Platform","Heroku","iOS","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
2794,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2796,"Arduino","AWS","Docker","Google Cloud Platform","Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
2801,"Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2803,"AWS","Docker","Google Cloud Platform","Kubernetes","Linux","MacOS","Microsoft Azure","Slack",NA,NA,NA,NA,NA,NA,NA,NA
2806,"Android","Arduino","AWS","Heroku","Linux","Raspberry Pi","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA
2808,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2811,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2814,"Android","Docker","Heroku","Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2817,"Linux","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2819,"Android","Arduino","AWS","Docker","iOS","Linux","Microsoft Azure","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA
2823,"Android","Arduino","Linux","Raspberry Pi","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2827,"AWS","Google Cloud Platform","Heroku","Linux","MacOS","Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA
2830,"Android","iOS","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2845,"Android","Docker","Google Cloud Platform","iOS","Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2853,"AWS","Linux","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2856,"Android","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2869,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2873,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2878,"AWS","Docker","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2884,"Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2890,"Docker","Google Cloud Platform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2893,"AWS","Docker","Google Cloud Platform","Kubernetes","Linux","MacOS","Microsoft Azure","Slack",NA,NA,NA,NA,NA,NA,NA,NA
2895,"Android","AWS","Heroku","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2898,"Android","AWS","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2903,"Android","AWS","Docker","Google Cloud Platform","Kubernetes","Microsoft Azure","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA
2906,"Docker","Google Cloud Platform","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2918,"Linux","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2941,"Docker","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2946,"Android","Arduino","Docker","Google Cloud Platform","Heroku","iOS","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA
2956,"Docker","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2963,"Android",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2964,"Android","AWS","Docker","Google Cloud Platform","iOS","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2971,"AWS","Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
